quote_id,text,author,tags
ca2bbf6332d81cb92c9f1d8dd294e3f65e50a7ceff1eed2e1762de70fed25258,"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.",Elie Wiesel,activism|apathy|hate|indifference|inspirational|love|opposite|philosophy
5cb2e5ee9b7175bd7b88f9e883c4a8c6c37e275cb548df252f1fde05d9ec24cf,"It is not a lack of love, but a lack of friendship that makes unhappy marriages.",Friedrich Nietzsche,friendship|lack-of-friendship|lack-of-love|love|marriage|unhappy-marriage
cec99bbad51b501357daa2abb2ab74335f1338089b20d3cdf37c2dfa898ffe7f,"Good friends, good books, and a sleepy conscience: this is the ideal life.",Mark Twain,books|contentment|friends|friendship|life
eb5c446b29dc256b52aec3696801fd9680c40fece60d16134b454711b572df17,Life is what happens to us while we are making other plans.,Allen Saunders,fate|life|misattributed-john-lennon|planning|plans
c1d55bce2cea1459001173bd67982b19a32a38799b448c61612bb35407a839e9,"I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.",Pablo Neruda,love|poetry
c0a871024133d3a28ec8cc793450669082b673f74e90e05b73f3502987d0122c,For every minute you are angry you lose sixty seconds of happiness.,Ralph Waldo Emerson,happiness
7745c363b2a40f858b4bd6a0855cefc7f6ab636b67d6d8e722461bbb4bc6b1b6,"If you judge people, you have no time to love them.",Mother Teresa,attributed-no-source
ac84bbb1fff78eebd18b8efabcda789c9dd2637ed03a9e112e47f258b3e5ecfc,Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.,Garrison Keillor,humor|religion
fc187ba2f1080e2f91ce915f3f3232d767fe680003f3e02cc8aab93f353d2c1f,Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.,Jim Henson,humor
aadbd7ddc073e992537b03aa1b33d785b4d9b2da4b94be7f6918b00fb60e86ba,"Today you are You, that is truer than true. There is no one alive who is Youer than You.",Dr. Seuss,comedy|life|yourself
f47c036f900816958aaa07cfb0c80db143274fb845a0b4c380cae039c7acbb4f,"If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.",Albert Einstein,children|fairy-tales
9091e110aa20965c7ad1ffbcf96c267361b80883abe07e2cd590f454f9d046b3,"It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.",J.K. Rowling,
a7791dbaa69459d50f604d128719a1c5fdc13162b7cec1a58e3df98da3224f7b,Logic will get you from A to Z; imagination will get you everywhere.,Albert Einstein,imagination
6f0b768b2f78e5b4cf0cc67a157fbacfdb3e849ac78bcf19a36eb892891c65cf,"One good thing about music, when it hits you, you feel no pain.",Bob Marley,music
c9204ead67cea32c9a465da813f66f15b6e0fbeb7164a1afa1e6bddbad6e2849,"The more that you read, the more things you will know. The more that you learn, the more places you'll go.",Dr. Seuss,learning|reading|seuss
b616676a30f900d038f3211d84bffcd101e93e6e0e822b71cfcdcde4e4dbcbad,"Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?",J.K. Rowling,dumbledore
770084c53fc9ce209185a949b67bd258deb85391d8791dfd9d91f258aba82896,"The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.",Bob Marley,friendship
90879dac5c07df5df68507c5f126087cf1bd339d55f1360d910424bc581eff9d,Not all of us can do great things. But we can do small things with great love.,Mother Teresa,misattributed-to-mother-teresa|paraphrased
efe9acbe1d95a5dcccc279a05525a89d932c0be6ad978d8d1a7ec65a20472c25,"To the well-organized mind, death is but the next great adventure.",J.K. Rowling,death|inspirational
803b48e8d87494be63d160e603fa44ef5fd8271b7228335a89ae7baefc0f6df3,All you need is love. But a little chocolate now and then doesn't hurt.,Charles M. Schulz,chocolate|food|humor
03aa556954312e31f56773fca2db53fe83dbe1d445431bf9c11b8d04f4e050db,We read to know we're not alone.,William Nicholson,misattributed-to-c-s-lewis|reading
faa08381c0e6ab0edd88f52cdf079d7809f9ad60e123519e6177fc16793f1adb,Any fool can know. The point is to understand.,Albert Einstein,knowledge|learning|understanding|wisdom
a79a1d7fd4bc6e009c1e17d997935c09dce1d2cf2130b51fb24fa032dcaf3286,I have always imagined that Paradise will be a kind of library.,Jorge Luis Borges,books|library
f9fd640119c64cad2657ddc8ce1b3385a5ccc01a9be1f476ed232cc733a71080,It is never too late to be what you might have been.,George Eliot,inspirational
3b7d79945826b56db69e820529e3807f2909c5b2b86729abf46f9f2f53ee030b,"A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.",George R.R. Martin,read|readers|reading|reading-books
348b7555db49ccea4a69e00c94f6c0e3e70131a1d8db91582939813f36b319cc,You can never get a cup of tea large enough or a book long enough to suit me.,C.S. Lewis,books|inspirational|reading|tea
4c822bba0c224bf78b4d0be759a201d588e53f017f99a4cb85dd70da950fc3f4,You believe lies so you eventually learn to trust no one but yourself.,Marilyn Monroe,
1abae17bcfa3f411738f829c10927485f0f25a3030e4a8b3ebb453084c13b762,"If you can make a woman laugh, you can make her do anything.",Marilyn Monroe,girls|love
e78757f217028fc348112107b24ba21de651c69c57277e6576ededef79ba022e,"Life is like riding a bicycle. To keep your balance, you must keep moving.",Albert Einstein,life|simile
899556ecc6c2129e1c2ef405a763d730385ccd458950e186dc89505ccc00649a,The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.,Marilyn Monroe,love
fb50755858b585ec9b37e79fa04bc233e9a65d92d839d0a288cac4aac24d4f56,"A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.",Marilyn Monroe,attributed-no-source
4cd65ba5c6b1498b1c16d0b90577b42af57cfe8ab851790ce92f0d3a4aa53430,Only in the darkness can you see the stars.,Martin Luther King Jr.,hope|inspirational
ec61b024c1c4788239f42b241cf35dc8a6a35d26f09309726b7f8e5721e1f74b,"It matters not what someone is born, but what they grow to be.",J.K. Rowling,dumbledore
35e556a1034a42f51b49c14403ef74cada71be85b287463c67191d51bae2d73a,"Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.",James Baldwin,love
b36385ecdf3e4cf1a52d5f9cb2a0ddf36611e091c80c2b64582e80a60a673d4d,"There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.",Jane Austen,friendship|love
1726c1cb3c7df73f784934931cae35440dbfc0b84d332ece762c6fc455cb3b77,Do one thing every day that scares you.,Eleanor Roosevelt,attributed|fear|inspiration
